0,1,2,3,4,5,6,7
bb8,BB-8_1,512,288,208,46,512,15
bb8,BB-8_2,432,634,401,196,425,143
bb8,BB-8_3,480,480,443,23,480,155
bb8,BB-8_4,480,480,480,18,479,1
bb8,BB-8_5,332,800,442,332,332,208
bb8,BB-8_6,332,800,174,1,280,13
bb8,BB-8_7,619,1100,1100,632,572,219
bb8,BB-8_8,332,800,541,116,332,43
bb8,BB-8_9,768,1366,1010,1,768,63
bb8,BB-8_10,683,1024,696,354,622,168
bb8,BB-8_11,402,634,257,144,385,233
bb8,BB-8_12,357,634,331,160,266,47
bb8,BB-8_13,844,556,298,22,567,221
bb8,BB-8_14,807,640,231,6,774,461
bb8,BB-8_15,660,1024,754,449,547,203
bb8,BB-8_16,450,450,277,61,450,34
bb8,BB-8_17,661,500,500,181,660,291
bb8,BB-8_18,321,635,418,220,283,29
bb8,BB-8_19,380,655,626,102,380,18
bb8,BB-8_20,485,700,519,219,485,88
bb8,BB-8_21,380,655,640,123,380,31
bb8,BB-8_22,354,500,327,126,335,70
bb8,BB-8_23,724,782,782,122,702,211
bb8,BB-8_24,821,462,394,26,631,127
bb8,BB-8_25,447,600,440,144,447,63
bb8,BB-8_26,500,500,391,90,469,59
bb8,BB-8_27,525,700,680,20,525,73
bb8,BB-8_28,800,800,625,224,652,126
bb8,BB-8_29,400,400,391,38,400,69
bb8,BB-8_30,600,900,591,461,576,105
bb8,BB-8_31,470,900,568,329,470,183
bb8,BB-8_32,379,637,248,136,374,228
bb8,BB-8_33,371,660,660,147,370,1
bb8,BB-8_34,389,625,509,144,388,24
bb8,BB-8_35,470,900,752,311,470,62
bb8,BB-8_36,396,704,509,164,396,18
bb8,BB-8_37,611,600,466,215,591,252
bb8,BB-8_38,1024,768,711,123,877,81
bb8,BB-8_39,525,700,410,258,516,313
bb8,BB-8_40,259,194,167,17,239,34
bb8,BB-8_41,953,736,704,2,952,158
bb8,BB-8_42,818,582,509,81,757,145
bb8,BB-8_43,570,570,473,198,533,160
bb8,BB-8_44,955,635,384,146,849,535
bb8,BB-8_45,451,750,398,279,451,375
bb8,BB-8_46,642,1142,425,166,607,272
bb8,BB-8_47,360,480,354,123,317,52
bb8,BB-8_48,360,480,192,122,314,258
bb8,BB-8_49,360,480,337,156,308,90
bb8,BB-8_50,360,480,393,225,313,147
bb8,BB-8_51,360,480,352,148,326,56
bb8,BB-8_52,533,800,660,79,533,35
bb8,BB-8_53,194,259,99,18,175,66
bb8,BB-8_54,300,640,414,34,300,24
bb8,BB-8_55,447,602,433,193,311,1
bb8,BB-8_56,720,1280,651,379,556,225
bb8,BB-8_57,720,1280,1119,171,713,14
bb8,BB-8_58,1080,1920,1735,315,1080,10
bb8,BB-8_59,380,570,402,168,380,74
bb8,BB-8_60,625,1110,604,324,588,212
bb8,BB-8_61,330,660,447,215,330,37
bb8,BB-8_62,653,750,570,173,606,69
bb8,BB-8_63,433,650,309,131,378,151
bb8,BB-8_64,800,554,213,44,680,467
bb8,BB-8_65,800,554,516,324,663,414
bb8,BB-8_66,478,680,539,301,478,211
bb8,BB-8_67,427,750,471,1,427,65
bb8,BB-8_68,678,1024,443,119,626,197
bb8,BB-8_69,683,1024,1024,472,680,157
bb8,BB-8_70,223,540,169,38,223,149
bb8,BB-8_71,223,540,238,141,223,129
bb8,BB-8_72,223,540,270,201,218,129
bb8,BB-8_73,223,540,288,241,194,132
bb8,BB-8_74,667,1000,743,354,667,145
bb8,BB-8_75,245,520,320,165,234,28
bb8,BB-8_76,200,600,240,85,200,89
bb8,BB-8_77,600,1200,1146,477,600,13
bb8,BB-8_78,470,900,403,240,470,320
bb8,BB-8_79,600,1200,552,320,579,265
bb8,BB-8_80,600,1200,849,766,587,483
bb8,BB-8_81,393,786,680,190,393,48
bb8,BB-8_82,545,970,821,302,545,31
bb8,BB-8_83,600,428,401,28,558,53
bb8,BB-8_84,500,800,316,80,478,182
bb8,BB-8_85,320,640,295,145,319,120
bb8,BB-8_86,356,633,369,328,141,97
bb8,BB-8_87,624,936,624,134,506,170
bb8,BB-8_88,410,615,245,1,410,106
bb8,BB-8_89,521,895,492,348,456,263
bb8,BB-8_90,643,1145,746,542,587,307
bb8,BB-8_91,353,637,185,1,353,149
bb8,BB-8_92,479,853,440,393,312,251
bb8,BB-8_93,479,853,478,442,301,248
bb8,BB-8_94,549,976,894,619,549,201
bb8,BB-8_95,387,736,498,261,385,55
bb8,BB-8_96,356,729,533,286,356,113
bb8,BB-8_97,546,969,702,448,438,101
